,County_FIPS,X,bc,Region,ORIG_FID_1,carbonprice,biomassprice,climate_benefit_cumulative,climate_benefit_per_year,sgarea,Negative_emissions_cumulative,Negative_emissions_per_year,year,biomassproduction,zerocb,costpertonne
127,1047,3302,40 67,Southeast,16,40,67,8443.381973,611.327407,318.4518385,2924.364242,211.7331675,2050,74713.87365,8412.959399,0.416125643
128,1047,3328,50 83,Southeast,16,50,83,8561.784258,621.6224866,323.8147373,2965.372858,215.2988669,2050,75761.59284,8412.959399,2.509378511
129,1049,3354,60 100,Appalachia,2,60,100,13919.93572,996.7054871,565.759225,5407.418611,387.185969,2050,134934.2103,13741.1401,1.983892559
130,1049,3380,70 116,Appalachia,2,70,116,13965.86422,999.8846281,567.5637985,5425.260263,388.4209565,2050,135379.4226,13741.1401,2.899527083
131,1049,3406,80 133,Appalachia,2,80,133,14005.70359,1005.249635,570.6091335,5440.736494,390.505078,2050,135765.6093,13741.1401,3.89011299
132,1049,3432,90 150,Appalachia,2,90,150,14034.49028,1007.325365,571.787379,5451.919137,391.3114283,2050,136044.6558,13741.1401,4.842609746
133,1049,3458,100 166,Appalachia,2,100,166,14086.96204,1010.972005,573.8573184,5472.302621,392.7280229,2050,136553.2957,13741.1401,6.319496041
134,1049,3484,30 50,Appalachia,2,30,50,13693.37781,978.6211377,555.4940186,5319.408616,380.1608182,2050,132738.0498,13741.1401,0
135,1049,3510,0 67,Appalachia,2,0,67,13741.1401,982.8467024,557.8925729,5337.96263,381.8023055,2050,133201.0381,13741.1401,0
136,1049,3536,40 67,Appalachia,2,40,67,13774.27509,985.6928431,559.5081257,5350.834441,382.9079337,2050,133522.2352,13741.1401,0.247699634
137,1049,3562,50 83,Appalachia,2,50,83,13855.24751,992.3943402,563.3120918,5382.289456,385.511236,2050,134307.1491,13741.1401,1.06002675
138,1051,3588,60 100,Southeast,16,60,100,2290.40235,160.6646336,90.31359379,878.3758244,61.61534455,2050,20326.91833,2263.174257,1.859893599
139,1051,3614,70 116,Southeast,16,70,116,2294.050248,160.7683601,90.37190104,879.7748035,61.65512396,2050,20359.29278,2263.174257,2.456673375
140,1051,3640,80 133,Southeast,16,80,133,2296.057793,161.1633741,90.5939483,880.544703,61.80661298,2050,20377.10939,2263.174257,2.987563137
141,1051,3666,90 150,Southeast,16,90,150,2296.126495,161.0292884,90.51857538,880.5710503,61.75519073,2050,20377.71911,2263.174257,3.367929727
142,1051,3692,100 166,Southeast,16,100,166,2300.532847,161.1891854,90.60845747,882.2608989,61.81651169,2050,20416.82471,2263.174257,4.234415233
143,1051,3718,0 67,Southeast,16,0,67,2263.174257,158.9082923,89.32631058,867.9337732,60.94178266,2050,20085.27379,2263.174257,0
144,1051,3744,40 67,Southeast,16,40,67,2268.513179,159.3433675,89.57087722,869.9812652,61.10863525,2050,20132.65578,2263.174257,0.245472981
145,1051,3770,50 83,Southeast,16,50,83,2284.128571,160.4213168,90.17681936,875.9698122,61.52203187,2050,20271.23964,2263.174257,1.196063683
146,1053,3796,60 100,Southeast,16,60,100,5368.97348,375.7143441,189.7787055,1783.0371,124.7748042,2050,53857.99348,5285.465193,2.810091377
147,1053,3822,70 116,Southeast,16,70,116,5384.850914,376.5590936,190.2054006,1788.309999,125.0553457,2050,54017.26541,5285.465193,3.890265353
148,1053,3848,80 133,Southeast,16,80,133,5397.47439,378.1390337,191.003451,1792.502258,125.5800441,2050,54143.89577,5285.465193,4.999009446
149,1053,3874,90 150,Southeast,16,90,150,5405.605341,378.4873159,191.1793733,1795.202548,125.6957087,2050,54225.46011,5285.465193,6.023060366
150,1053,3900,100 166,Southeast,16,100,166,5423.514173,379.4979549,191.6898616,1801.150075,126.0313421,2050,54405.10967,5285.465193,7.664490699
151,1053,3926,30 50,Southeast,16,30,50,5267.153615,368.5359176,186.1527793,1749.222704,122.3908474,2050,52836.6039,5285.465193,0
152,1053,3952,0 67,Southeast,16,0,67,5285.465193,370.0604385,186.9228366,1755.303983,122.8971411,2050,53020.29355,5285.465193,0
153,1053,3978,40 67,Southeast,16,40,67,5298.220986,371.0825901,187.4391401,1759.540184,123.2365978,2050,53148.25122,5285.465193,0.289980128
154,1053,4004,50 83,Southeast,16,50,83,5346.071798,374.5213311,189.1760975,1775.431447,124.3786043,2050,53628.25894,5285.465193,1.706813415
155,1055,4030,60 100,Appalachia,2,60,100,3309.700733,241.8479263,143.0318113,1356.676924,99.1357005,2050,34312.85654,3230.811108,3.48894968
156,1055,4056,70 116,Appalachia,2,70,116,3327.490831,243.2733208,143.8748069,1363.969249,99.71998286,2050,34497.29288,3230.811108,4.961681246
157,1055,4082,80 133,Appalachia,2,80,133,3344.038204,245.2641179,145.0521886,1370.75217,100.536029,2050,34668.84543,3230.811108,6.608173145
158,1055,4108,90 150,Appalachia,2,90,150,3357.853763,246.4167938,145.7338952,1376.415295,101.0085215,2050,34812.07629,3230.811108,8.306968806
159,1055,4134,100 166,Appalachia,2,100,166,3376.860005,247.9313768,146.6296381,1384.20613,101.6293631,2050,35009.12084,3230.811108,10.55109455
160,1055,4160,30 50,Appalachia,2,30,50,3217.39813,234.044136,138.4165546,1318.841233,95.93685471,2050,33355.92229,3230.811108,0
161,1055,4186,0 67,Appalachia,2,0,67,3230.811108,235.2820496,139.1486718,1324.339337,96.44428696,2050,33494.97945,3230.811108,0
162,1055,4212,40 67,Appalachia,2,40,67,3240.274168,236.1174579,139.6427424,1328.218333,96.78672853,2050,33593.08639,3230.811108,0.284985077
163,1055,4238,50 83,Appalachia,2,50,83,3277.292357,239.3331923,141.5445669,1343.392431,98.10488777,2050,33976.86726,3230.811108,1.729995193
164,1057,4264,60 100,Southeast,16,60,100,1746.68997,141.4095945,81.96286461,697.402402,56.46073003,2050,18571.497,1658.438634,7.59257519
165,1057,4290,70 116,Southeast,16,70,116,1768.182595,143.7972838,83.34680081,705.9837807,57.4140648,2050,18800.01507,1658.438634,10.88137925
166,1057,4316,80 133,Southeast,16,80,133,1789.466365,146.6642878,85.00855412,714.4817699,58.55877595,2050,19026.31251,1658.438634,14.671079
167,1057,4342,90 150,Southeast,16,90,150,1808.773836,148.8814738,86.29366437,722.1906802,59.44403371,2050,19231.59716,1658.438634,18.7348972
168,1057,4368,100 166,Southeast,16,100,166,1829.364638,151.2570676,87.67058981,730.4119876,60.39253907,2050,19450.5267,1658.438634,23.4013142
169,1057,4394,30 50,Southeast,16,30,50,1644.666679,130.5004667,75.63979038,656.667475,52.10503323,2050,17486.74511,1658.438634,0
170,1057,4420,0 67,Southeast,16,0,67,1658.438634,132.0364139,76.5300456,662.1662153,52.71829217,2050,17633.17397,1658.438634,0
171,1057,4446,40 67,Southeast,16,40,67,1668.5735,133.0852256,77.1379507,666.2127721,53.13705213,2050,17740.93187,1658.438634,0.608506278
172,1057,4472,50 83,Southeast,16,50,83,1708.445647,137.4633812,79.67558737,682.1325582,54.88512206,2050,18164.86826,1658.438634,3.665490825
173,1059,4498,60 100,Southeast,16,60,100,3550.9061,278.9686619,161.9266055,1420.443847,111.5938603,2050,39860.62059,3404.32058,6.191819026
174,1059,4524,70 116,Southeast,16,70,116,3582.83348,282.308418,163.8651579,1433.215531,112.9298393,2050,40219.02072,3404.32058,8.718788468
175,1059,4550,80 133,Southeast,16,80,133,3613.099553,286.3876462,166.232935,1445.322654,114.5616241,2050,40558.77187,3404.32058,11.5561171
176,1059,4576,90 150,Southeast,16,90,150,3639.004235,289.1718674,167.8490286,1455.685121,115.6753764,2050,40849.56433,3404.32058,14.50968255
177,1059,4602,100 166,Southeast,16,100,166,3668.057492,292.257928,169.6403242,1467.307089,116.9098714,2050,41175.70104,3404.32058,17.97421371
178,1059,4628,30 50,Southeast,16,30,50,3378.522403,261.1863964,151.6049376,1351.486416,104.4805465,2050,37925.53108,3404.32058,0
179,1059,4654,0 67,Southeast,16,0,67,3404.32058,263.9956049,153.2355351,1361.806278,105.6042942,2050,38215.12796,3404.32058,0
180,1059,4680,40 67,Southeast,16,40,67,3423.204235,265.9039098,154.3432055,1369.360173,106.3676599,2050,38427.10604,3404.32058,0.551605222
181,1059,4706,50 83,Southeast,16,50,83,3497.358629,273.8130877,158.9340665,1399.023631,109.5315124,2050,39259.5246,3404.32058,3.325106425
182,1061,4732,60 100,Southeast,16,60,100,11725.59158,890.7638587,462.7520991,4046.162287,307.3768268,2050,101821.4724,11260.00196,6.904166319
